Latitude,Longitude,Address,Weekly Temperature
14.874982421376938,78.84310182007543,"Bengaluru - Vijayawada Expressway, Uppalapadu, Sri Avadhutha Kasinayana, YSR, Andhra Pradesh, 523112, India",32.5
10.736795945136633,77.99296386872594,"Mettukattur, Aravakurichi, Karur, Tamil Nadu, 639203, India",26.6
14.3508233156027,75.74212639930818,"Malebennuru, Harihara taluku, Davanagere, Karnataka, 577530, India",24.5
13.160337254960151,79.91740001455888,"Ekkadu - Ramathandalam Road, Tiruvallur, Thiruvallur, Tamil Nadu, 602001, India",30.9
11.276372859733035,76.02519103692119,"Kozhikode, Kerala, India",24.7
15.27237007930379,77.5946,"Chennampalle, Tuggali, Kurnool, Andhra Pradesh, India",32.9
11.264528223048414,79.17487795782264,"Sendurai - Anganur - Agaram Seegore - Thirumandurai Road, Udayankudikadu, Vanjinapuram, Sendurai, Ariyalur, Tamil Nadu, 621714, India",30.1
13.16282861693541,75.23928707371623,"Kalasa taluk, Chikkamagaluru, Karnataka, India",20.1
14.379709389501196,79.4863131732129,"Ramkuru, Rapur, Sri Potti Sriramulu Nellore, Andhra Pradesh, India",30.2
10.673818640683413,77.18510285862881,"Kongalnagaram, Madathukulam, Tiruppur, Tamil Nadu, 642205, India",25.4
14.94213451294447,76.30158358671366,"SH40, Hanasi, Hagari Bommanahalli taluk, Vijayanagara, Karnataka, India",25.5
12.353672219031187,79.902033869499,"Maduranthagam - Vennangupattu Road, Vennangupattu, Cheyyur, Chengalpattu, Tamil Nadu, India",30.5
11.875112930999858,75.47250604382963,"Kannur, Kerala, 670611, India",26.9
15.19147665412504,78.42684142046906,"Dornipadu, Nandyal, Andhra Pradesh, 518135, India",35.6
10.778626086770204,78.51250052653658,"Mamatchireddipatty, Alathur, Kulithalai, Karur, Tamil Nadu, India",27.0
13.967633907358284,75.38656834874087,"Adinakottige, Doddamatli, Shivamogga taluk, Shimoga, Karnataka, India",23.0
13.678870338061149,79.92285586391712,"Sadanavaripalem, Varadaiahpalem, Tirupati, Andhra Pradesh, India",30.6
10.894670997915869,76.38310593981176,"Ayyapamparmbu Colony, Ottappalam, Palakkad, Kerala, 679514, India",25.6
15.316452325074808,77.05904248143726,"Karchedu, Bellary taluk, Ballari, Karnataka, India",30.7
11.58159614678415,79.5970642176748,"Kurinjipadi, Cuddalore, Tamil Nadu, 607302, India",30.4
12.64463188795765,75.15342112415591,"Daithota, Putturu taluk, Dakshina Kannada, Karnataka, 671552, India",25.2
14.824343131919614,79.19672742179556,"Marripadu, Sri Potti Sriramulu Nellore, Andhra Pradesh, India",29.8
10.54066347998224,77.70183598657907,"Ambilikkai, Oddanchatram, Dindigul, Tamil Nadu, 624612, India",26.5
14.690967904958958,75.82221295831859,"yarabalu, Harapanahalli taluku, Vijayanagara, Karnataka, 583213, India",24.9
12.852907273833685,80.08730025422003,"Chengalpattu, Tamil Nadu, 603210, India",31.6
11.386345782276473,75.68810489217238,"Chemanchery, Koyilandi, Kozhikode, Kerala, 673304, India",27.5
15.413121302138041,77.9258446743546,"Timmapuram, Dhone, Nandyal, Andhra Pradesh, India",33.1
10.94395119361478,79.02847377892124,"Adaikalapuram, Kovilesanai, Ariyalur, Tamil Nadu, 621851, India",29.4
13.496041735880722,75.12254615785571,"Malanduru, Tirthahalli taluk, Shimoga, Karnataka, 577411, India",22.3
14.204622010278856,79.80052589498118,"Ramalingapuram, Gudur, Tirupati, Andhra Pradesh, 524406, India",30.5
10.592988435844008,76.83704747834994,"Kilavanputhur, Pollachi, Coimbatore, Tamil Nadu, 678533, India",25.1
15.234870191550703,76.50683811001778,"Gundlavaddigeri, Hosapete taluk, Vijayanagara, Karnataka, India",26.8
12.001590764322,79.94785423456517,"Kottakuppam, Vanur, Viluppuram, Tamil Nadu, 605104, India",30.3
12.10059964581981,75.19317539927117,"Kotti, Payyanur, Payyannur Taluk, Kannur, Kerala, 671350, India",28.0
15.205604072038312,78.79336210229249,"Giddalur, Prakasam, Andhra Pradesh, India",30.0
10.527434920387073,78.25605356076807,"Sakkampatti, Ponnambalappatti, Manapparai, Tiruchirappalli, Tamil Nadu, 621315, India",25.1
14.324931382625735,75.40089905160772,"Mattikote, Shikaripura taluk, Shimoga, Karnataka, 577427, India",23.9
13.400629383929257,80.15351919182199,"Ayyanallur Road, Gummidipundi, Gummidipoondi, Thiruvallur, Tamil Nadu, 601200, India",30.1
10.943029906520835,76.02315817979051,"Vettichira, Tirur, Malappuram, Kerala, 676510, India",25.7
15.519740692481463,77.36475992103554,"Chiramandoddi, Aspari, Kurnool, Andhra Pradesh, India",33.1
11.231527331526594,79.51049960286288,"Veeranandhapuram, Udayarpalayam, Ariyalur, Tamil Nadu, 621903, India",30.1
12.958383657565154,74.9715342039089,"Malali, Mangaluru taluk, Dakshina Kannada, Karnataka, 574144, India",27.3
14.706711852157179,79.54811613221591,"Zangalapalle, Atmakur, Sri Potti Sriramulu Nellore, Andhra Pradesh, India",30.8
10.394279693782089,77.36690155731885,"Palani, Dindigul, Tamil Nadu, India",25.6
15.024047448255574,75.97044967638837,"SH45, Huvina Hadagali, Huvina Hadagali taluk, Vijayanagara, Karnataka, 583219, India",25.1
12.507001774267861,80.20171416439656,"Kalpakkam, Tirukalukundram, Chengalpattu, Tamil Nadu, 603102, India",30.3
11.560944021852618,75.36383099846506,India,29.4
15.496352833547796,78.29223257313645,"Panyam, Nandyal, Andhra Pradesh, 518112, India",33.6
10.642819563340508,78.81845605703111,"Ramachandrapuram, Kulathur taluk, Pudukkottai, Tamil Nadu, India",29.4
13.858271111197725,75.06625589369366,"NH766C, Guddekoppa, Hosanagara taluk, Shimoga, Karnataka, 577425, India",22.8
13.968158749522582,80.0881497544348,"Pittavanipalle, Chittamur, Tirupati, Andhra Pradesh, India",29.7
10.573634099415214,76.46578171498982,"Vadakkenchery, Alathur, Palakkad, Kerala, 678683, India",25.2
15.497345270815027,76.77323773075082,"ಬೆನ್ನೂರ, Karatagi taluku, Koppal, Karnataka, India",29.8
11.632893112535669,79.92879333062915,"South Arcot, Cuddalore, Tamil Nadu, 607804, India",29.9
12.381742376393886,74.94884932934889,"Dakshina Kannada, Karnataka, India",29.4
15.154166417125989,79.17111364122745,"Jinuguvaripalle, Chandra Sekhara Puram, Prakasam, Andhra Pradesh, India",31.9
10.316404484775843,77.94748021276123,"NH44, Athoor, Dindigul, Tamil Nadu, 624303, India",26.3
14.688156275659779,75.48259772676798,"Taredahalli, Byadagi taluk, Haveri, Karnataka, 581106, India",24.6
13.074506982726248,80.33740692847702,"Chennai, Tamil Nadu, 600001, India",31.8
11.05672115433281,75.66325606461407,India,29.3
15.673645540462335,77.71631152765173,"Bidipadu, Gonegandla, Kurnool, Andhra Pradesh, India",34.2
